14 24 52
28 39 68
37 52 81
106 122 156
27 45 73
27 47 75
29 42 73
29 42 73
40 53 85
38 50 81
38 49 80
46 56 88
45 55 88
57 68 101
72 78 113
18 23 49
90 97 130
87 97 130
18 30 59
19 33 61
19 34 63
32 42 69
32 42 70
36 47 75
58 68 97
39 50 79
61 73 102
65 78 107
49 62 91
68 73 108
17 22 47
90 97 130
87 97 128
18 30 58
18 32 60
19 33 61
31 41 68
31 41 68
35 46 74
57 67 96
39 50 79
61 73 102
67 80 107
49 62 91
68 74 108
17 19 46
30 34 64
33 41 70
22 31 62
23 34 63
28 39 70
44 52 79
44 53 80
39 48 76
37 47 74
37 47 74
41 51 79
56 68 96
55 67 95
63 67 101
17 20 44
23 28 56
27 34 64
19 29 59
21 33 64
20 31 63
30 40 68
29 39 66
37 45 73
39 49 76
37 49 75
39 49 75
47 58 87
42 53 80
63 67 101
12 19 39
20 28 52
21 33 60
17 30 59
18 31 62
25 40 72
31 47 79
31 47 79
25 40 71
55 66 99
44 51 85
45 49 84
61 60 96
90 85 125
78 80 114
11 17 41
17 22 50
19 24 53
51 55 85
50 51 79
84 84 113
29 33 57
29 33 57
33 42 71
32 47 77
34 49 81
42 54 84
61 65 95
137 133 166
164 163 193
10 15 40
21 26 54
37 44 72
35 41 69
36 40 67
68 71 99
34 35 63
34 35 63
105 113 144
68 82 113
35 50 82
37 50 81
60 67 97
85 86 116
108 111 143
10 15 40
20 26 53
37 44 73
35 41 69
37 41 69
69 73 102
35 36 64
34 35 63
108 116 148
68 83 114
34 49 82
36 49 79
58 65 94
85 86 116
103 106 136
12 16 40
13 21 47
22 33 59
34 46 73
26 37 64
18 26 51
34 35 66
34 35 65
35 42 73
39 50 82
39 56 88
31 48 79
40 54 85
64 75 107
54 65 95
12 16 40
13 20 46
22 33 59
34 46 73
26 36 62
18 26 51
34 35 66
33 34 64
34 41 71
38 49 82
39 56 87
31 48 79
40 54 85
64 75 107
56 67 98
15 20 44
13 21 47
12 23 48
17 29 56
23 34 59
26 35 61
29 33 59
29 33 59
32 39 67
34 46 76
27 44 73
72 90 122
85 102 135
39 54 85
59 69 105
16 24 47
11 21 45
7 17 42
10 20 48
14 21 48
22 29 55
28 35 60
27 34 57
26 37 61
37 52 76
25 44 68
47 65 95
41 57 87
40 56 87
69 80 115
62 74 97
20 31 54
17 25 51
14 21 47
41 46 73
50 53 82
60 73 95
58 70 92
51 65 85
32 48 68
21 38 59
37 53 76
33 46 72
40 53 82
59 64 96
